	Alcohol	Appellation	Bottle Size	Category	Date Published	Designation	Importer	Price	Variety	Winery	description	points	row	taster	title	url_i
268	14%	Haut-Médoc, Bordeaux, France	750 ml	Red	4/1/2018		Aquitaine Wine Company	$15,  Buy Now	Bordeaux-style Red Blend	Château Trois Moulins	Equally divided between Merlot and Cabernet Sauvignon with a seasoning of Cabernet Franc, this richly perfumed wine is juicy and full of blackberry flavors. From the same ownership as Cambon la Pelouse and in the southern Haut-Médoc, the wine will age well. Drink from 2021.	91	269	Roger Voss	Château Trois Moulins 2015  Haut-Médoc	https://www.winemag.com/buying-guide/chateau-trois-moulins-2015-haut-medoc/
269	14%	Douro, Portugal	750 ml	Red	4/1/2018	Quinta dona Mafalda Vinhas Velhas	Constantine Wines	$23,  Buy Now	Portuguese Red	Christie's	With its 60% Touriga Nacional, this wine has rich, wood-aged perfumed fruit. Black plums and berries come through the tannins and spice to give a ripe character to this big-hearted wine. It still has a dry core and needs to be aged. Drink from 2020.	91	270	Roger Voss	Christie's 2015 Quinta dona Mafalda Vinhas Velhas Red (Douro)	https://www.winemag.com/buying-guide/christies-2015-quinta-dona-mafalda-vinhas-velhas-red-douro/
270	14%	Gravina, Southern Italy, Italy	750 ml	White	4/1/2018	Poggio al Bosco	Leonardo LoCascio Selections–The Winebow Group	$30,  Buy Now	White Blend	Botromagno	This single-vineyard blend of 60% Greco and 40% Malvasia shows spiced aromas of orchard fruit on the nose. Edgy flavors of apple and pear rinds meet almond skin on the medium-bodied palate, balanced by a persistent vein of acidity and a dusting of earthy stone.	89	271	Alexander Peartree	Botromagno 2015 Poggio al Bosco White (Gravina)	https://www.winemag.com/buying-guide/botromagno-2015-poggio-al-bosco-white-gravina/
271	13.5%	Vino Nobile di Montepulciano, Tuscany, Italy	750 ml	Red	4/1/2018	San Claudio II	H. Mercer Wine &amp; Spirit Imports	$23,  Buy Now	Red Blend	Cantina del Giusto	Aromas of chopped herb, wild berry and a whiff of cake spice float out of the glass. The taut bright palate offers red cherry, raspberry and hints of star anise set against vibrant acidity and polished tannins. Drink through 2020.	89	272	Kerin O’Keefe	Cantina del Giusto 2014 San Claudio II  (Vino Nobile di Montepulciano)	https://www.winemag.com/buying-guide/cantina-del-giusto-2014-san-claudio-ii-vino-nobile-di-montepulciano/
272	13.5%	Vino Nobile di Montepulciano, Tuscany, Italy	750 ml	Red	4/1/2018	Riserva	Opici Wines	$35,  Buy Now	Red Blend	Carpineto	Aromas suggesting underbrush, oak, new leather and chopped herb come together in the glass. The austere palate offers dried cherry, dried sage and roasted coffee bean set against close-grained tannins that grip the finish.	89	273	Kerin O’Keefe	Carpineto 2013 Riserva  (Vino Nobile di Montepulciano)	https://www.winemag.com/buying-guide/carpineto-2013-riserva-vino-nobile-di-montepulciano/
273	14%	Maremma Toscana, Tuscany, Italy	750 ml	Red	4/1/2018	Marujo	Pilla Wine Import	$31,  Buy Now	Red Blend	Casteani	Made entirely with Syrah vinified and aged in terracotta amphora, this opens with aromas of black currant, black pepper and a whiff of pine forest. The firm but easy-drinking palate offers mature blackberry, cooking spice and clove alongside velvety tannins.	89	274	Kerin O’Keefe	Casteani 2013 Marujo  (Maremma Toscana)	https://www.winemag.com/buying-guide/casteani-2013-marujo-maremma-toscana/
274	14.9%	Chehalem Mountains, Willamette Valley, Oregon, US	750 ml	Red	4/1/2018			$32,  Buy Now	Pinot Noir	Catman	Sporting a smooth, almost satiny mouthfeel, this high-octane Pinot brings a mouthful of brambly berries, with highlights of lightly peppery herbs. The tannins turn astringent, with a green-tea character. Best consumed over the next four or five years.	89	275	Paul Gregutt	Catman 2015 Pinot Noir (Chehalem Mountains)	https://www.winemag.com/buying-guide/catman-2015-pinot-noir-chehalem-mountains/
275	13%	Alsace, Alsace, France	750 ml	White	4/1/2018	Clos du Zahnacker	Planet Wine	$42,  Buy Now	Alsace white blend, White Blend	Cave de Ribeauvillé	Heady rose petal notes are framed by lots of earthiness on the nose. The off-dry palate has the same contrast of heady perfume and earthy core on a very fluid, almost oily palate. The finish has a pleasantly bitter freshness.	89	276	Anne Krebiehl MW	Cave de Ribeauvillé 2013 Clos du Zahnacker White (Alsace)	https://www.winemag.com/buying-guide/cave-de-ribeauville-2013-clos-du-zahnacker-white-alsace/
276	12%	Alsace, Alsace, France	750 ml	White	4/1/2018		Serge Doré Selections	$18,  Buy Now	Pinot Blanc	Cave de Ribeauvillé	Lovely, herb-edged notes of pear make for a refreshing and engaging nose. The fresh palate is juicy in notes of pear and lemon. This is easy, fruity and dry.	89	277	Anne Krebiehl MW	Cave de Ribeauvillé 2016 Pinot Blanc (Alsace)	https://www.winemag.com/buying-guide/cave-de-ribeauville-2016-pinot-blanc-alsace/
277	12.5%	Alsace, Alsace, France	750 ml	Red	4/1/2018		Magnum Wines International	$30,  Buy Now	Pinot Noir	Cave de Turckheim	Red cherry with just a lick of black cherry dominate the nose. The palate tones this exuberant fruit down a little but pairs it with bright freshness. The body remains light throughought and has enticing edges of conifer.	89	278	Anne Krebiehl MW	Cave de Turckheim 2016 Pinot Noir (Alsace)	https://www.winemag.com/buying-guide/cave-de-turckheim-2016-pinot-noir-alsace/
278	13%	Valtellina Superiore, Lombardy, Italy	750 ml	Red	4/1/2018	Giupa Riserva	Masciarelli Wine Co	$35,  Buy Now	Nebbiolo	Caven	This opens with delicate aromas of red-skinned berry, underbrush and a whiff of mint. The straightforward palate offers raspberry jam, tobacco and a touch of licorice alongside polished tannins.	89	279	Kerin O’Keefe	Caven 2010 Giupa Riserva  (Valtellina Superiore)	https://www.winemag.com/buying-guide/caven-2010-giupa-riserva-valtellina-superiore/
279	13%	Haut-Médoc, Bordeaux, France	750 ml	Red	4/1/2018		William Harrison	$22,  Buy Now	Bordeaux-style Red Blend	Château Bel Air	This wine, dominated by ripe Cabernet Sauvignon, is well structured, richly tannic and likely to age well. A firm underlay of dry tannins supports the rich fruit and acidity. It has a crisp final texture. Drink from 2021.	89	280	Roger Voss	Château Bel Air 2015  Haut-Médoc	https://www.winemag.com/buying-guide/chateau-bel-air-2015-haut-medoc/
280	13.5%	Médoc, Bordeaux, France	750 ml	Red	4/1/2018		DB Wine Selection	$21,  Buy Now	Bordeaux-style Red Blend	Château la Roque de By	One of a number of estates owned by the Pagès family in the northern Médoc, this property has produced a wood-laden wine, yet one that is also full of ripe fruit. Young at the moment and with the toasty character still prominent, this wine will take its time to bring out the potential of the blackberries and acidity. They are there and will be show best from 2023.	89	281	Roger Voss	Château la Roque de By 2015  Médoc	https://www.winemag.com/buying-guide/chateau-la-roque-de-by-2015-medoc/
281	14.5%	Primitivo di Manduria, Southern Italy, Italy	750 ml	Red	4/1/2018	Riserva	Vintage Point	$60,  Buy Now	Primitivo, Zinfandel	Concura	There's a pleasing richness to this wine in its aromas of ripe dark cherry, blackberry and tobacco leaf. The palate brings oak tones that are well-integrated with the juicy dark fruit flavors, the medium-grained, grippy tannins and vibrant acidity offer solid support.	89	282	Alexander Peartree	Concura 2013 Riserva  (Primitivo di Manduria)	https://www.winemag.com/buying-guide/concura-2013-riserva-primitivo-di-manduria/
282	12.5%	Galilee, Israel	750 ml	White	4/1/2018	Estate Unoaked	Allied Importers, USA, Ltd	$16,  Buy Now	Pinot Gris	Dalton	With a nose of melon and almond blossom, this wine offers flavors of green apple, pear and lemon, with soft floral notes. It is bright on the palate yet soft in the mouth, with a citrus finish that is marked by a touch of bitter almond.	89	283	Mike DeSimone	Dalton 2016 Estate Unoaked Pinot Gris (Galilee)	https://www.winemag.com/buying-guide/dalton-2016-estate-unoaked-pinot-gris-galilee/
283	12.5%	Alsace, Alsace, France	750 ml	White	4/1/2018	Blettig	Good Company Wines	$22,  Buy Now	Sylvaner, Other White	Domaine Charles Frey	A ripe notion of yellow pear joins hints of pithy citrus on the nose. The palate represies the notion of very ripe, juicy, yellow pear and the pithy, textural element of citrus. The palate is light and dry but full of fruit. The finish is clean and fresh.	89	284	Anne Krebiehl MW	Domaine Charles Frey 2016 Blettig Sylvaner (Alsace)	https://www.winemag.com/buying-guide/domaine-charles-frey-2016-blettig-sylvaner-alsace/
284	12%	Alsace, Alsace, France	750 ml	White	4/1/2018	L'aplomb Ad Quadratum	Maritime Wine Trading Collective	$26,  Buy Now	Alsace white blend, White Blend	Domaine Rieflé-Landmann	Very gentle hints of ripe orchard fruit lay on the nose while the palate has the richness of juicy, ripe pear. Easy and harmonious, fresh and lively. Drink soon.	89	285	Anne Krebiehl MW	Domaine Rieflé-Landmann 2016 L'aplomb Ad Quadratum White (Alsace)	https://www.winemag.com/buying-guide/domaine-riefle-landmann-2016-laplomb-ad-quadratum-white-alsace/
285	13%	Lugana, Lombardy, Italy	750 ml	White	4/1/2018	Felugan	Berardi Steven	$19,  Buy Now	Turbiana, Italian White	Feliciana	Tropical fruit and orange blossom aromas lead the nose. The round palate doles out white peach, citrus and honeydew melon alongside fresh acidity. A hint of bitter almond marks the finish.	89	286	Kerin O’Keefe	Feliciana 2016 Felugan  (Lugana)	https://www.winemag.com/buying-guide/feliciana-2016-felugan-lugana/
286	14%	Rioja, Northern Spain, Spain	750 ml	White	4/1/2018	Selección Familia	Elixir Wine Group	$17,  Buy Now	White Blend	Fernández Gómez	One sniff announces that this Viura-Malvasia-Garnacha Blanca blend is fully oaked, while good acidity cuts some of the wine's resiny weight. While barrel-based flavors are firmly in charge, this offers apple and stone-fruit notes prior to a finish that tastes slightly buttery.	89	287	Michael Schachner	Fernández Gómez 2016 Selección Familia White (Rioja)	https://www.winemag.com/buying-guide/fernandez-gomez-2016-seleccion-familia-white-rioja/
287	11%	Mosel, Germany	750 ml	White	4/1/2018	Fritz Willi Feinherb	Schmitt-Söhne USA	$17,  Buy Now	Riesling	Friedrich-Wilhelm-Gymnasium	While delicate in concentration, this medium-sweet Riesling offers loads of pink grapefruit and honeysuckle tones calibrated by zesty lime and orange peel. It's a fresh, frisky wine, with a lingering honey finish.	89	288	Anna Lee C. Iijima	Friedrich-Wilhelm-Gymnasium 2016 Fritz Willi Feinherb Riesling (Mosel)	https://www.winemag.com/buying-guide/friedrich-wilhelm-gymnasium-2016-fritz-willi-feinherb-riesling-mosel/
288	15%	Upper Galilee, Israel	750 ml	Red	4/1/2018		Yarden Wines, Inc	$17,  Buy Now	Syrah	Galil Mountain	Aromas of the wood and anise lead to flavors of raspberry, strawberry, cured meat, smoke and eucalyptus. The tart cherry finish has notes of flint and smoke. Slightly grippy tannins and smoky flavors may be a little strong on their own, but this wine will work well alongside fatty cuts of meat.	89	289	Mike DeSimone	Galil Mountain 2016 Syrah (Upper Galilee)	https://www.winemag.com/buying-guide/galil-mountain-2016-syrah-upper-galilee/
289	14%	Bolgheri, Tuscany, Italy	750 ml	Red	4/1/2018		Domaine Select Wine &amp; Spirits	$35,  Buy Now	Red Blend	Grattamacco	This blend of Cabernet Sauvignon, Cabernet Franc, Merlot and Sangiovese opens with aromas of black currant, Mediterranean scrub and cedar. The juicy palate offers dried black cherry, mocha and black pepper alongside fine-grained tannins. Drink through 2021.	89	290	Kerin O’Keefe	Grattamacco 2016  Bolgheri	https://www.winemag.com/buying-guide/grattamacco-2016-bolgheri/
290	13.5%	Galilee, Israel	750 ml	Red	4/1/2018	Genesis	Allied Importers, USA, Ltd	$17,  Buy Now	Shiraz	Hayotzer	Inky red-violet in the glass, this wine has aromas of black plum, cassis and juniper. It is bright on the palate, with smooth tannins that support flavors of cherry, cranberry, chocolate and violet. A quick splash of pomegranate arrives at the finish.	89	291	Mike DeSimone	Hayotzer 2014 Genesis Shiraz (Galilee)	https://www.winemag.com/buying-guide/hayotzer-2014-genesis-shiraz-galilee/
291	12.5%	Alsace, Alsace, France	750 ml	White	4/1/2018	Cuvée Les Amours	Frederick Wildman &amp; Sons, Ltd	$20,  Buy Now	Pinot Blanc	Hugel	An appealing aroma of ripe pear fills the nose. The palate is similarly abundant in fruit yet ultimately feels clean, dry and slender.	89	292	Anne Krebiehl MW	Hugel 2016 Cuvée Les Amours Pinot Blanc (Alsace)	https://www.winemag.com/buying-guide/hugel-2016-cuvee-les-amours-pinot-blanc-alsace/
292	13.2%	Adelaide Hills, South Australia, Australia	750 ml	White	4/1/2018	Reserve	Pernod Ricard	$15,  Buy Now	Chardonnay	Jacob's Creek	This reserve Chardonnay is slightly buttery and yeasty on the fore, brightened by aromas of green apple, fresh melon and a hint of tropical fruit. The palate is tightly structured, with crunchy fruit, a chalky textural weight and a long, green-apple finish.	89	293	Christina Pickard	Jacob's Creek 2016 Reserve Chardonnay (Adelaide Hills)	https://www.winemag.com/buying-guide/jacobs-creek-2016-reserve-chardonnay-adelaide-hills/
293	13.1%	Willamette Valley, Willamette Valley, Oregon, US	750 ml	Red	4/1/2018	Nils		$36,  Buy Now	Pinot Noir	Johan	This is a barrel selection, seemingly chosen for its muscular aspect. The estate's characteristic sweet baking spices are amply in evidence, with ginger-cookie highlights. Fermented with native yeast and aged for 18 months in one-quarter new French oak, it should continue to drink well into the mid-2020s.	89	294	Paul Gregutt	Johan 2014 Nils Pinot Noir (Willamette Valley)	https://www.winemag.com/buying-guide/johan-2014-nils-pinot-noir-willamette-valley/
294	13%	Maremma Toscana, Tuscany, Italy	750 ml	Red	4/1/2018		OZ Wine Company	$26,  Buy Now	Ciliegiolo, Italian White	La Selva	Made entirely with organically grown Ciliegiolo grapes, this opens with aromas of violet, raspberry and baking spice. On the vibrant palate, velvety tannins support red cherry, cinnamon and vanilla.	89	295	Kerin O’Keefe	La Selva 2014  Maremma Toscana	https://www.winemag.com/buying-guide/la-selva-2014-maremma-toscana/
295	15.5%	Sforzato di Valtellina, Lombardy, Italy	750 ml	Red	4/1/2018	Corte di Cama	Massanois Imports	$65,  Buy Now	Nebbiolo	Mamete Prevostini	Subtle aromas of vanilla, cedar and steeped prune slowly take shape on this. The dense palate offers dried black cherry, mocha, licorice and star anise alongside close-grained tannins.	89	296	Kerin O’Keefe	Mamete Prevostini 2013 Corte di Cama  (Sforzato di Valtellina)	https://www.winemag.com/buying-guide/mamete-prevostini-2013-corte-di-cama-sforzato-di-valtellina/
296	13.5%	Valtellina Superiore, Lombardy, Italy	750 ml	Red	4/1/2018	Sassella Sommarovina	Massanois Imports	$45,  Buy Now	Nebbiolo	Mamete Prevostini	Crushed aromatic herb, underbrush and balsamic aromas lead the nose. The firm palate offers dried black cherry, mocha and tobacco alongside close-grained, austere tannins. Drink after 2022.	89	297	Kerin O’Keefe	Mamete Prevostini 2015 Sassella Sommarovina  (Valtellina Superiore)	https://www.winemag.com/buying-guide/mamete-prevostini-2015-sassella-sommarovina-valtellina-superiore/
